account_id,suspicious_start,suspicious_end,window_strength,window_confidence,n_days_observed
ACCT_M00059,2024-02-05,2024-03-10,13.4351,0.020303,651
ACCT_M00060,2023-11-03,2024-01-04,20.6653,0.035539,627
ACCT_M00061,2022-12-05,2023-01-15,15.8702,0.022415,660
ACCT_M00062,2023-05-19,2023-07-26,22.0019,0.037073,644
ACCT_M00063,2023-10-07,2023-12-26,24.6477,0.040375,674
ACCT_M00064,2022-07-21,2022-09-18,19.5576,0.031569,676
ACCT_M00065,2023-06-08,2023-08-25,25.1945,0.04065,678
ACCT_M00066,2023-01-06,2023-04-01,28.4739,0.043244,658
ACCT_M00067,2022-07-01,2022-07-26,10.0621,0.014693,675
ACCT_M00068,2023-09-06,2023-10-10,13.3009,0.020004,665
ACCT_M00069,2022-08-23,2022-10-09,15.3569,0.025326,672
ACCT_M00070,2023-02-07,2023-04-30,26.5422,0.041332,666
ACCT_M00071,2022-10-07,2022-11-23,15.7145,0.025899,677
ACCT_M00072,2023-12-01,2023-12-27,10.6101,0.015941,648
ACCT_M00073,2024-01-29,2024-04-12,23.7556,0.040261,670
ACCT_M00074,2023-01-15,2023-02-24,15.0006,0.022752,657
ACCT_M00075,2023-10-17,2023-11-27,16.3732,0.023398,664
ACCT_M00076,2022-06-20,2022-07-17,11.1165,0.016797,649
ACCT_M00077,2022-05-10,2022-07-25,23.8017,0.039056,677
ACCT_M00078,2022-11-14,2023-01-24,24.0608,0.038921,683
ACCT_M00079,2022-07-11,2022-08-09,11.904,0.019398,627
ACCT_M00080,2023-12-28,2024-01-23,10.9306,0.016168,669
ACCT_M00081,2023-04-14,2023-06-16,21.3029,0.03505,682
ACCT_M00082,2023-02-21,2023-05-12,22.3088,0.041664,690
ACCT_M00083,2023-03-09,2023-05-01,17.076,0.027631,680
ACCT_M00084,2023-04-25,2023-06-10,14.9049,0.025157,677
ACCT_M00085,2023-11-22,2024-01-13,17.9784,0.029884,665
ACCT_M00086,2023-06-07,2023-08-24,25.0218,0.040472,679
ACCT_M00087,2022-06-03,2022-08-19,21.3996,0.040402,655
ACCT_M00088,2024-01-15,2024-02-29,14.8395,0.024483,677
ACCT_M00089,2023-08-15,2023-09-26,16.0408,0.024462,655
ACCT_M00090,2022-11-09,2023-01-02,18.7371,0.026864,658
ACCT_M00091,2023-10-20,2024-01-02,23.4722,0.03972,640
ACCT_M00092,2022-10-28,2022-12-04,14.0826,0.021896,638
ACCT_M00093,2023-09-08,2023-10-07,11.5892,0.017864,652
ACCT_M00094,2022-10-03,2022-12-01,19.139,0.031521,671
ACCT_M00095,2023-12-30,2024-02-18,16.381,0.028348,662
ACCT_M00096,2023-01-20,2023-03-19,18.9421,0.031573,665
ACCT_M00097,2023-04-06,2023-06-05,20.3884,0.033008,670
ACCT_M00098,2023-08-30,2023-11-18,25.7096,0.04036,684
ACCT_M00099,2023-12-29,2024-02-19,16.7043,0.026803,687
ACCT_M00100,2022-09-17,2022-10-13,10.9318,0.016333,645
ACCT_M00101,2023-03-01,2023-04-13,16.1619,0.023314,682
ACCT_M00102,2023-01-18,2023-04-03,24.0454,0.039439,652
ACCT_M00103,2023-09-24,2023-11-21,18.1084,0.030062,657
ACCT_M00104,2024-02-26,2024-04-12,15.7551,0.02553,665
ACCT_M00105,2023-07-23,2023-08-22,11.7041,0.018853,644
ACCT_M00106,2023-06-21,2023-09-14,27.8601,0.044728,658
ACCT_M00107,2023-04-19,2023-07-12,25.5848,0.042421,663
ACCT_M00108,2023-10-31,2024-01-11,24.2162,0.039086,660
ACCT_M00109,2022-09-07,2022-12-03,27.8718,0.044627,678
ACCT_M00110,2024-01-24,2024-04-13,26.7485,0.042957,680
ACCT_M00111,2023-08-21,2023-10-07,13.8639,0.02711,662
ACCT_M00112,2023-11-17,2024-01-11,19.5097,0.031092,664
ACCT_M00113,2023-07-30,2023-09-25,19.8206,0.033071,663
ACCT_M00114,2023-10-12,2023-11-29,16.1508,0.026891,658
ACCT_M00115,2023-12-27,2024-01-21,10.1884,0.015999,647
ACCT_M00116,2022-08-17,2022-10-14,19.5062,0.03195,671
ACCT_M00117,2022-12-07,2023-01-22,15.8422,0.027278,647
ACCT_M00118,2022-10-04,2022-11-12,15.3554,0.022519,680
ACCT_M00119,2023-06-27,2023-08-26,19.5959,0.031291,679
ACCT_N00000,2022-06-01,2022-06-05,0.5525,0.009158,632
ACCT_N00001,2022-01-01,2022-01-04,0.7353,0.009931,651
ACCT_N00002,2023-01-01,2023-01-03,0.4518,0.005696,635
ACCT_N00003,2023-04-26,2023-05-02,0.6928,0.008503,639
ACCT_N00004,2023-10-01,2023-10-04,0.5717,0.009455,637
ACCT_N00005,2024-01-31,2024-02-03,0.7928,0.008765,667
ACCT_N00006,2023-04-01,2023-04-04,0.4275,0.006228,667
ACCT_N00007,2022-02-15,2022-03-04,0.5567,0.00878,626
ACCT_N00008,2023-03-01,2023-03-04,0.6883,0.009594,647
ACCT_N00009,2023-01-30,2023-02-02,0.5484,0.006202,641
ACCT_N00010,2022-01-29,2022-02-03,0.593,0.008343,643
ACCT_N00011,2024-03-01,2024-03-06,0.641,0.00566,640
ACCT_N00012,2023-06-01,2023-06-05,0.6223,0.008746,663
ACCT_N00013,2022-12-01,2022-12-03,0.5281,0.008362,643
ACCT_N00014,2022-10-01,2022-10-03,0.4701,0.006532,632
ACCT_N00015,2022-02-28,2022-03-02,0.5773,0.009329,660
ACCT_N00016,2022-06-01,2022-06-07,0.545,0.005557,656
ACCT_N00017,2022-03-30,2022-04-02,0.5575,0.00927,638
ACCT_N00018,2024-03-01,2024-03-03,0.5315,0.008537,660
ACCT_N00019,2024-02-29,2024-03-02,0.6572,0.008567,665
ACCT_N00020,2023-04-01,2023-04-06,0.5462,0.005906,662
ACCT_N00021,2023-09-01,2023-09-03,0.5188,0.006072,627
ACCT_N00022,2024-01-29,2024-02-02,0.5739,0.006165,658
ACCT_N00023,2024-06-01,2024-06-03,0.6435,0.005855,643
ACCT_N00024,2022-07-01,2022-07-05,0.5579,0.006277,658
ACCT_N00025,2022-03-31,2022-04-02,0.4449,0.00608,640
ACCT_N00026,2023-04-01,2023-04-04,0.583,0.009219,633
ACCT_N00027,2023-11-01,2023-11-04,0.4811,0.006219,644
ACCT_N00028,2022-12-01,2022-12-03,0.5438,0.005788,631
ACCT_N00029,2024-03-01,2024-03-03,0.4383,0.006292,645
ACCT_N00030,2022-12-27,2023-01-02,0.5706,0.008125,659
ACCT_N00031,2024-05-31,2024-06-02,0.4722,0.006549,663
ACCT_N00032,2023-07-01,2023-07-03,0.4287,0.006559,653
ACCT_N00033,2023-01-01,2023-01-03,0.4367,0.006012,670
ACCT_N00034,2024-02-01,2024-02-03,0.5717,0.009317,620
ACCT_N00035,2024-01-01,2024-01-07,0.5821,0.008229,650
ACCT_N00036,2023-12-31,2024-01-02,0.4598,0.005863,656
ACCT_N00037,2022-02-01,2022-02-03,0.4699,0.005599,658
ACCT_N00038,2024-01-31,2024-02-02,0.6654,0.008756,651
ACCT_N00039,2023-07-31,2023-08-02,0.4562,0.00546,658
ACCT_N00040,2023-12-30,2024-01-02,0.4587,0.006728,623
ACCT_N00041,2024-05-31,2024-06-02,0.4708,0.006319,643
ACCT_N00042,2022-05-01,2022-05-07,0.5843,0.008564,646
ACCT_N00043,2022-07-01,2022-07-04,0.4365,0.006551,641
ACCT_N00044,2022-06-29,2022-07-02,0.563,0.009109,624
ACCT_N00045,2022-07-31,2022-08-02,0.4768,0.006131,657
ACCT_N00046,2024-05-01,2024-05-03,0.4362,0.006283,643
ACCT_N00047,2023-04-01,2023-04-05,0.5736,0.006151,654
ACCT_N00048,2022-03-01,2022-03-08,0.5609,0.009735,647
ACCT_N00049,2022-01-30,2022-02-02,0.5358,0.0085,661
ACCT_N00050,2022-04-30,2022-05-06,0.6353,0.005976,658
ACCT_N00051,2023-09-01,2023-09-03,0.5914,0.008849,615
ACCT_N00052,2023-03-31,2023-04-02,0.4496,0.006158,644
ACCT_N00053,2024-05-20,2024-06-02,0.6991,0.008654,630
ACCT_N00054,2023-03-30,2023-04-02,0.5405,0.006597,643
ACCT_N00055,2022-10-01,2022-10-06,0.5491,0.008905,654
ACCT_N00056,2022-06-22,2022-07-02,0.6611,0.009036,645
ACCT_N00057,2024-03-31,2024-04-03,0.6211,0.007118,604
ACCT_N00058,2022-04-01,2022-04-03,0.4771,0.005019,644
ACCT_N00059,2024-01-31,2024-02-02,0.4738,0.0056,668
ACCT_N00060,2022-08-31,2022-09-05,0.5781,0.008458,646
ACCT_N00061,2022-06-26,2022-07-02,0.7574,0.00964,636
ACCT_N00062,2024-05-31,2024-06-02,0.4858,0.005321,654
ACCT_N00063,2022-03-01,2022-03-03,0.5626,0.008332,641
ACCT_N00064,2023-04-30,2023-05-03,0.5996,0.006326,661
ACCT_N00065,2022-05-28,2022-06-02,0.5965,0.008947,654
ACCT_N00066,2022-07-01,2022-07-03,0.5312,0.006417,665
ACCT_N00067,2023-04-01,2023-04-03,0.4732,0.005694,641
ACCT_N00068,2022-03-31,2022-04-02,0.5438,0.006091,648
ACCT_N00069,2022-09-26,2022-10-04,0.7902,0.0082,658
ACCT_N00070,2022-02-01,2022-02-03,0.5556,0.007958,656
ACCT_N00071,2022-10-01,2022-10-03,0.5312,0.006112,645
ACCT_N00072,2022-11-29,2022-12-02,0.5838,0.008374,661
ACCT_N00073,2022-09-30,2022-10-02,0.5188,0.006469,629
ACCT_N00074,2023-01-01,2023-01-03,0.5188,0.006025,650
ACCT_N00075,2023-01-01,2023-01-04,0.5312,0.006252,658
ACCT_N00076,2023-03-30,2023-04-02,0.5681,0.006404,647
ACCT_N00077,2023-03-28,2023-04-02,0.5531,0.008924,639
ACCT_N00078,2022-03-28,2022-04-02,0.7832,0.008563,649
ACCT_N00079,2022-05-01,2022-05-03,0.5422,0.009189,649
ACCT_N00080,2022-09-30,2022-10-02,0.6034,0.009298,642
ACCT_N00081,2024-03-31,2024-04-02,0.6163,0.009264,658
ACCT_N00082,2023-04-01,2023-04-04,0.5312,0.006532,657
ACCT_N00083,2023-07-30,2023-08-02,0.4305,0.006415,653
ACCT_N00084,2024-03-31,2024-04-03,0.5694,0.005547,667
ACCT_N00085,2023-07-01,2023-07-03,0.5312,0.006347,636
ACCT_N00086,2023-09-29,2023-10-02,0.5407,0.00863,658
ACCT_N00087,2022-02-01,2022-02-03,0.5428,0.009434,628
ACCT_N00088,2022-03-01,2022-03-06,0.5312,0.005775,680
ACCT_N00089,2022-07-01,2022-07-03,0.5146,0.008711,636
ACCT_N00090,2022-09-01,2022-09-05,0.6071,0.00903,649
ACCT_N00091,2022-12-31,2023-01-02,0.5563,0.005692,646
ACCT_N00092,2023-03-01,2023-03-09,0.7991,0.009195,667
ACCT_N00093,2024-01-31,2024-02-04,0.4567,0.005552,640
ACCT_N00094,2023-04-30,2023-05-02,0.5559,0.008832,622
ACCT_N00095,2023-08-01,2023-08-04,0.7245,0.009555,661
ACCT_N00096,2022-01-01,2022-01-10,0.5203,0.00858,646
ACCT_N00097,2023-05-01,2023-05-04,0.44,0.005611,634
ACCT_N00098,2023-12-01,2023-12-03,0.4734,0.006547,626
ACCT_N00099,2022-08-01,2022-08-03,0.4456,0.005831,644
ACCT_N00100,2022-01-01,2022-01-03,0.4627,0.00586,646
ACCT_N00101,2022-02-01,2022-02-09,0.7236,0.007999,652
ACCT_N00102,2022-10-29,2022-11-02,0.4099,0.00583,631
ACCT_N00103,2023-05-01,2023-05-04,0.5513,0.009057,656
ACCT_N00104,2024-01-01,2024-01-03,0.4855,0.005935,642
ACCT_N00105,2022-02-26,2022-03-02,0.5117,0.005417,635
ACCT_N00106,2024-06-01,2024-06-03,0.5353,0.008682,654
ACCT_N00107,2023-06-01,2023-06-03,0.4252,0.005909,626
ACCT_N00108,2023-04-01,2023-04-03,0.4596,0.005655,640
ACCT_N00109,2022-03-31,2022-04-02,0.6109,0.009139,643
ACCT_N00110,2022-05-30,2022-06-02,0.5696,0.009052,652
ACCT_N00111,2023-01-31,2023-02-05,0.5721,0.008293,645
ACCT_N00112,2022-09-28,2022-10-02,0.5824,0.009303,638
ACCT_N00113,2022-01-31,2022-02-05,0.6746,0.006011,634
ACCT_N00114,2024-06-01,2024-06-03,0.578,0.008864,647
ACCT_N00115,2022-06-30,2022-07-02,0.451,0.006334,626
ACCT_N00116,2022-12-30,2023-01-02,0.7102,0.008831,634
ACCT_N00117,2023-02-01,2023-02-04,0.5188,0.006118,646
ACCT_N00118,2024-05-01,2024-05-03,0.5358,0.008608,651
ACCT_N00119,2022-03-01,2022-03-03,0.5188,0.005752,655
ACCT_N00120,2023-11-01,2023-11-03,0.4412,0.005862,669
ACCT_N00121,2022-04-01,2022-04-03,0.5622,0.00848,647
ACCT_N00122,2022-12-01,2022-12-03,0.5312,0.006262,655
ACCT_N00123,2023-04-01,2023-04-04,0.5108,0.008222,669
ACCT_N00124,2024-02-01,2024-02-08,0.594,0.008044,677
ACCT_N00125,2023-06-30,2023-07-04,0.7269,0.008782,641
ACCT_N00126,2023-10-01,2023-10-03,0.5134,0.008608,630
ACCT_N00127,2022-09-01,2022-09-04,0.7842,0.008627,652
ACCT_N00128,2022-05-01,2022-05-05,0.5188,0.006426,634
ACCT_N00129,2022-01-01,2022-01-03,0.4685,0.00597,641
ACCT_N00130,2023-04-30,2023-05-02,0.6192,0.008924,638
ACCT_N00131,2023-03-29,2023-04-03,0.8536,0.009142,649
ACCT_N00132,2022-11-01,2022-11-03,0.5679,0.008666,660
ACCT_N00133,2023-04-28,2023-05-02,0.5783,0.009169,676
ACCT_N00134,2022-03-30,2022-04-02,0.6467,0.008381,654
ACCT_N00135,2022-04-30,2022-05-02,0.5282,0.008729,633
ACCT_N00136,2023-06-01,2023-06-03,0.6223,0.007165,643
ACCT_N00137,2023-03-26,2023-04-03,0.7638,0.008629,652
ACCT_N00138,2023-05-01,2023-05-04,0.5117,0.005665,660
ACCT_N00139,2024-02-01,2024-02-05,0.7991,0.007661,655
ACCT_N00140,2024-06-01,2024-06-03,0.5312,0.006066,637
ACCT_N00141,2023-12-01,2023-12-05,0.5821,0.008634,648
ACCT_N00142,2023-01-31,2023-02-02,0.4339,0.006217,641
ACCT_N00143,2024-01-30,2024-02-02,0.5188,0.006083,636
ACCT_N00144,2022-05-21,2022-06-02,0.6458,0.008684,641
ACCT_N00145,2023-12-01,2023-12-03,0.6432,0.009059,657
ACCT_N00146,2023-01-29,2023-02-02,0.6639,0.008623,641
ACCT_N00147,2023-07-01,2023-07-03,0.4607,0.005858,635
ACCT_N00148,2023-04-01,2023-04-03,0.58,0.006375,639
ACCT_N00149,2023-07-29,2023-08-06,0.591,0.008502,651
ACCT_N00150,2024-04-28,2024-05-02,0.4807,0.006681,631
ACCT_N00151,2023-02-01,2023-02-06,0.4946,0.006401,653
ACCT_N00152,2023-02-28,2023-03-02,0.5566,0.009321,647
ACCT_N00153,2022-07-01,2022-07-03,0.4863,0.006226,641
ACCT_N00154,2022-05-31,2022-06-02,0.6018,0.008702,651
ACCT_N00155,2022-12-27,2023-01-02,0.753,0.008484,659
ACCT_N00156,2022-07-01,2022-07-03,0.5549,0.00604,645
ACCT_N00157,2023-11-28,2023-12-02,0.5407,0.00611,622
ACCT_N00158,2024-01-01,2024-01-03,0.5538,0.005665,643
ACCT_N00159,2023-06-01,2023-06-05,0.4468,0.005513,649
ACCT_N00160,2023-11-30,2023-12-02,0.5827,0.005999,651
ACCT_N00161,2023-02-23,2023-03-02,0.5034,0.006036,651
ACCT_N00162,2022-11-30,2022-12-02,0.601,0.006103,659
ACCT_N00163,2024-01-01,2024-01-03,0.5643,0.008851,652
ACCT_N00164,2023-05-31,2023-06-02,0.5558,0.006121,648
ACCT_N00165,2023-06-29,2023-07-06,0.7005,0.008205,682
ACCT_N00166,2022-09-01,2022-09-04,0.469,0.005662,660
ACCT_N00167,2022-05-01,2022-05-03,0.5958,0.006297,654
ACCT_N00168,2023-01-01,2023-01-03,0.4385,0.006037,656
ACCT_N00169,2023-07-28,2023-08-02,0.5995,0.008326,691
ACCT_N00170,2022-12-01,2022-12-07,0.4475,0.006126,659
ACCT_N00171,2024-02-28,2024-03-02,0.5658,0.009213,633
ACCT_N00172,2022-03-30,2022-04-02,0.7195,0.008296,636
ACCT_N00173,2022-10-31,2022-11-02,0.4553,0.006119,629
ACCT_N00174,2022-10-31,2022-11-02,0.4954,0.008625,664
ACCT_N00175,2022-01-01,2022-01-05,0.5312,0.006068,664
ACCT_N00176,2022-03-30,2022-04-02,0.5791,0.006436,663
ACCT_N00177,2022-04-01,2022-04-04,0.4707,0.00621,634
ACCT_N00178,2023-08-30,2023-09-02,0.6604,0.008541,655
ACCT_N00179,2023-03-01,2023-03-03,0.4956,0.005865,647
ACCT_N00180,2023-12-30,2024-01-02,0.6611,0.009654,644
ACCT_N00181,2024-02-01,2024-02-03,0.4535,0.005918,658
ACCT_N00182,2022-02-28,2022-03-02,0.657,0.008836,666
ACCT_N00183,2023-10-01,2023-10-03,0.6362,0.009047,669
ACCT_N00184,2022-01-31,2022-02-02,0.6442,0.005777,649
ACCT_N00185,2023-02-28,2023-03-02,0.5751,0.008971,659
ACCT_N00186,2022-02-01,2022-02-03,0.5743,0.009363,653
ACCT_N00187,2022-08-01,2022-08-04,0.5062,0.006911,656
ACCT_N00188,2023-12-27,2024-01-02,0.5549,0.009386,624
ACCT_N00189,2022-05-25,2022-06-02,0.7473,0.009015,669
ACCT_N00190,2022-02-01,2022-02-05,0.5468,0.005655,660
ACCT_N00191,2024-05-01,2024-05-03,0.446,0.005714,659
ACCT_N00192,2024-04-30,2024-05-02,0.4492,0.005427,637
ACCT_N00193,2024-03-30,2024-04-02,0.7618,0.009147,640
ACCT_N00194,2023-03-01,2023-03-05,0.6146,0.007853,646
ACCT_N00195,2022-05-23,2022-06-02,0.634,0.00877,660
ACCT_N00196,2023-11-01,2023-11-04,0.6032,0.009332,646
ACCT_N00197,2023-01-01,2023-01-04,0.5977,0.006147,640
ACCT_N00198,2022-01-01,2022-01-03,0.4326,0.005796,655
ACCT_N00199,2024-01-01,2024-01-03,0.5722,0.0084,632
ACCT_N00200,2023-06-01,2023-06-03,0.5424,0.00549,657
ACCT_N00201,2022-02-26,2022-03-02,0.4985,0.008967,662
ACCT_N00202,2023-06-01,2023-06-04,0.5207,0.005761,666
ACCT_N00203,2022-09-29,2022-10-04,0.6844,0.009318,662
ACCT_N00204,2022-11-01,2022-11-03,0.5291,0.006356,635
ACCT_N00205,2024-05-01,2024-05-06,0.6144,0.00819,623
ACCT_N00206,2023-10-01,2023-10-10,0.7156,0.009149,666
ACCT_N00207,2023-04-01,2023-04-03,0.5188,0.006199,628
ACCT_N00208,2024-01-28,2024-02-02,0.6303,0.009441,646
ACCT_N00209,2022-07-31,2022-08-02,0.4864,0.006466,650
ACCT_N00210,2024-02-29,2024-03-02,0.5318,0.006013,655
ACCT_N00211,2022-03-01,2022-03-03,0.5062,0.0065,644
ACCT_N00212,2022-01-30,2022-02-02,0.5628,0.006325,651
ACCT_N00213,2024-05-01,2024-05-04,0.6453,0.008376,655
ACCT_N00214,2022-12-01,2022-12-03,0.5879,0.008915,650
ACCT_N00215,2024-01-31,2024-02-02,0.6555,0.006116,640
ACCT_N00216,2022-06-28,2022-07-02,0.5468,0.006571,639
ACCT_N00217,2023-11-01,2023-11-03,0.4554,0.006102,640
ACCT_N00218,2023-09-30,2023-10-02,0.5312,0.00648,656
ACCT_N00219,2023-11-29,2023-12-02,0.6193,0.008727,643
ACCT_N00220,2023-09-30,2023-10-02,0.5405,0.005868,634
ACCT_N00221,2023-10-31,2023-11-02,0.5499,0.005602,654
ACCT_N00222,2022-02-21,2022-03-02,0.6375,0.008296,648
ACCT_N00223,2023-10-31,2023-11-03,0.6577,0.008517,640
ACCT_N00224,2022-05-31,2022-06-02,0.4834,0.005975,637
ACCT_N00225,2023-05-31,2023-06-02,0.5121,0.005926,643
ACCT_N00226,2022-08-31,2022-09-02,0.4279,0.006541,622
ACCT_N00227,2022-04-01,2022-04-03,0.456,0.005592,629
ACCT_N00228,2023-01-01,2023-01-05,0.5572,0.008531,642
ACCT_N00229,2024-02-29,2024-03-02,0.6065,0.008643,651
ACCT_N00230,2023-12-01,2023-12-07,0.669,0.009235,647
ACCT_N00231,2023-04-30,2023-05-05,0.7758,0.009242,647
ACCT_N00232,2022-02-01,2022-02-03,0.5526,0.00896,662
ACCT_N00233,2023-02-01,2023-02-03,0.5327,0.00664,642
ACCT_N00234,2022-09-01,2022-09-03,0.5188,0.005691,659
ACCT_N00235,2024-03-01,2024-03-03,0.5236,0.009036,636
ACCT_N00236,2024-05-28,2024-06-08,0.507,0.00638,638
ACCT_N00237,2023-11-01,2023-11-03,0.5381,0.006311,630
ACCT_N00238,2022-06-29,2022-07-02,0.4865,0.005847,644
ACCT_N00239,2024-03-01,2024-03-03,0.5,0.005445,661
ACCT_N00240,2022-02-01,2022-02-04,0.471,0.006154,639
ACCT_N00241,2024-01-31,2024-02-02,0.4718,0.005909,641
ACCT_N00242,2022-12-01,2022-12-03,0.6733,0.008517,678
ACCT_N00243,2024-03-01,2024-03-07,0.7172,0.009122,631
ACCT_N00244,2023-03-01,2023-03-03,0.5544,0.005618,637
ACCT_N00245,2022-10-01,2022-10-03,0.5147,0.008039,664
ACCT_N00246,2024-04-01,2024-04-03,0.5103,0.006322,642
ACCT_N00247,2022-10-01,2022-10-03,0.516,0.00831,636
ACCT_N00248,2023-04-01,2023-04-03,0.5438,0.006058,629
ACCT_N00249,2023-09-01,2023-09-03,0.595,0.006407,628
ACCT_N00250,2023-02-28,2023-03-02,0.5884,0.008938,648
ACCT_N00251,2022-06-01,2022-06-03,0.4373,0.005913,649
ACCT_N00252,2023-04-28,2023-05-02,0.4949,0.008982,655
ACCT_N00253,2023-12-30,2024-01-02,0.5904,0.009009,673
ACCT_N00254,2023-10-31,2023-11-05,0.6553,0.009071,653
ACCT_N00255,2023-11-01,2023-11-04,0.4988,0.005778,650
ACCT_N00256,2023-06-26,2023-07-02,0.6732,0.008399,626
ACCT_N00257,2022-06-28,2022-07-02,0.4297,0.006272,648
ACCT_N00258,2024-04-30,2024-05-02,0.5312,0.006281,617
ACCT_N00259,2022-11-01,2022-11-04,0.5438,0.005895,642
ACCT_N00260,2023-07-01,2023-07-06,0.3911,0.005814,636
ACCT_N00261,2023-10-31,2023-11-02,0.5556,0.009561,645
ACCT_N00262,2024-04-27,2024-05-02,0.5988,0.006546,643
ACCT_N00263,2022-05-01,2022-05-03,0.5188,0.006213,652
ACCT_N00264,2024-04-01,2024-04-03,0.6115,0.008652,628
ACCT_N00265,2023-06-29,2023-07-02,0.5293,0.006096,651
ACCT_N00266,2024-06-01,2024-06-03,0.494,0.006336,672
ACCT_N00267,2024-05-31,2024-06-02,0.6822,0.008417,635
ACCT_N00268,2022-01-31,2022-02-02,0.4105,0.005401,644
ACCT_N00269,2022-01-30,2022-02-02,0.5292,0.005749,656
ACCT_N00270,2022-01-31,2022-02-02,0.5993,0.008633,651
ACCT_N00271,2023-08-31,2023-09-02,0.446,0.006286,621
ACCT_N00272,2022-08-30,2022-09-02,0.6164,0.009086,629
ACCT_N00273,2023-11-30,2023-12-02,0.6335,0.00846,665
ACCT_N00274,2023-05-01,2023-05-05,0.5862,0.006427,663
ACCT_N00275,2022-03-31,2022-04-02,0.4702,0.008395,650
ACCT_N00276,2022-09-27,2022-10-04,0.5793,0.008602,637
ACCT_N00277,2024-03-01,2024-03-03,0.5397,0.006153,653
ACCT_N00278,2023-06-29,2023-07-02,0.4719,0.005742,664
