position,column,banking_name,source,training_median
38,F320,RA_NON_CASH_CHQ_TXN_DB_L7_14D,carried through from the extract,1.0
39,F321,RA_NON_CASH_CHQ_AMT_L7_14D,carried through from the extract,1.07
40,F322,RA_NON_CASH_CHQ_AMT_CR_L7_14D,carried through from the extract,1.06
41,F323,RA_NON_CASH_CHQ_AMT_DB_L7_14D,carried through from the extract,1.1
42,F324,RA_CI_NON_CASH_CHQ_TXN_L7_14D,carried through from the extract,1.0
43,F325,RA_CI_NON_CASH_CHQ_TXN_CR_L7_14D,carried through from the extract,1.0
44,F326,RA_CI_NON_CASH_CHQ_TXN_DB_L7_14D,carried through from the extract,1.0
45,F327,RA_CI_NON_CASH_CHQ_AMT_L7_14D,carried through from the extract,1.08
46,F328,RA_CI_NON_CASH_CHQ_AMT_CR_L7_14D,carried through from the extract,1.07
47,F329,RA_CI_NON_CASH_CHQ_AMT_DB_L7_14D,carried through from the extract,1.1
48,F418,RA_NON_CASH_CHQ_TXN_L14_31D,carried through from the extract,1.0
49,F419,RA_NON_CASH_CHQ_TXN_CR_L14_31D,carried through from the extract,1.0
50,F420,RA_NON_CASH_CHQ_TXN_DB_L14_31D,carried through from the extract,1.0
51,F421,RA_NON_CASH_CHQ_AMT_L14_31D,carried through from the extract,1.08
52,F422,RA_NON_CASH_CHQ_AMT_CR_L14_31D,carried through from the extract,1.08
53,F423,RA_NON_CASH_CHQ_AMT_DB_L14_31D,carried through from the extract,1.08
54,F424,RA_CI_NON_CASH_CHQ_TXN_L14_31D,carried through from the extract,1.0
55,F425,RA_CI_NON_CASH_CHQ_TXN_CR_14_31D,carried through from the extract,1.0
56,F426,RA_CI_NON_CASH_CHQ_TXN_DB_14_31D,carried through from the extract,1.0
57,F427,RA_CI_NON_CASH_CHQ_AMT_L14_31D,carried through from the extract,1.09
58,F428,RA_CI_NON_CASH_CHQ_AMT_CR_14_31D,carried through from the extract,1.09
59,F429,RA_CI_NON_CASH_CHQ_AMT_DB_14_31D,carried through from the extract,1.09
60,F520,RA_NON_CASH_CHQ_TXN_L7_31D,carried through from the extract,1.0
61,F521,RA_NON_CASH_CHQ_TXN_CR_L7_31D,carried through from the extract,1.0
62,F522,RA_NON_CASH_CHQ_TXN_DB_L7_31D,carried through from the extract,1.0
63,F523,RA_NON_CASH_CHQ_AMT_L7_31D,carried through from the extract,1.17
64,F524,RA_NON_CASH_CHQ_AMT_CR_L7_31D,carried through from the extract,1.13
65,F525,RA_NON_CASH_CHQ_AMT_DB_L7_31D,carried through from the extract,1.2
66,F526,RA_CI_NON_CASH_CHQ_TXN_L7_31D,carried through from the extract,1.0
67,F527,RA_CI_NON_CASH_CHQ_TXN_CR_L7_31D,carried through from the extract,1.0
68,F528,RA_CI_NON_CASH_CHQ_TXN_DB_L7_31D,carried through from the extract,1.0
69,F529,RA_CI_NON_CASH_CHQ_AMT_L7_31D,carried through from the extract,1.18
70,F530,RA_CI_NON_CASH_CHQ_AMT_CR_L7_31D,carried through from the extract,1.13
71,F531,RA_CI_NON_CASH_CHQ_AMT_DB_L7_31D,carried through from the extract,1.21
72,F610,MIN_CASH_TXNS_L7D,carried through from the extract,0.0
73,F611,MIN_CASH_TXNS_CR_L7D,carried through from the extract,0.0
74,F612,MIN_CASH_TXNS_DB_L7D,carried through from the extract,0.0
75,F613,MIN_CASH_AMT_L7D,carried through from the extract,0.0
76,F614,MIN_CASH_AMT_CR_L7D,carried through from the extract,0.0
77,F615,MIN_CASH_AMT_DB_L7D,carried through from the extract,0.0
78,F622,MIN_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,1.0
79,F623,MIN_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,0.0
80,F624,MIN_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,0.0
81,F625,MIN_NON_CASH_CHQ_AMT_L7D,carried through from the extract,2.0
82,F626,MIN_NON_CASH_CHQ_AMT_CR_L7D,carried through from the extract,0.0
83,F627,MIN_NON_CASH_CHQ_AMT_DB_L7D,carried through from the extract,0.0
84,F628,MIN_CI_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,1.0
85,F629,MIN_CI_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,0.0
86,F630,MIN_CI_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,0.0
87,F631,MIN_CI_NON_CASH_CHQ_AMT_L7D,carried through from the extract,1.0
88,F632,MIN_CI_NON_CASH_CHQ_AMT_CR_L7D,carried through from the extract,0.0
89,F633,MIN_CI_NON_CASH_CHQ_AMT_DB_L7D,carried through from the extract,0.0
90,F664,MIN_ELEC_XFER_TXNS_L7D,carried through from the extract,0.0
91,F665,MIN_ELEC_XFER_TXNS_CR_L7D,carried through from the extract,0.0
92,F666,MIN_ELEC_XFER_TXNS_DB_L7D,carried through from the extract,0.0
93,F667,MIN_ELEC_XFER_AMT_L7D,carried through from the extract,0.0
94,F668,MIN_ELEC_XFER_AMT_CR_L7D,carried through from the extract,0.0
95,F669,MIN_ELEC_XFER_AMT_DB_L7D,carried through from the extract,0.0
96,F670,MIN_UPI_XFER_TXNS_L7D,carried through from the extract,0.0
97,F671,MIN_UPI_TXNS_CR_L7D,carried through from the extract,0.0
98,F672,MIN_UPI_TXNS_DB_L7D,carried through from the extract,0.0
99,F673,MIN_UPI_XFER_AMT_L7D,carried through from the extract,0.0
100,F674,MIN_UPI_AMT_CR_L7D,carried through from the extract,0.0
101,F675,MIN_UPI_AMT_DB_L7D,carried through from the extract,0.0
102,F676,MIN_NET_BNKING_TXNS_L7D,carried through from the extract,0.0
103,F677,MIN_NET_BNKING_TXNS_CR_L7D,carried through from the extract,0.0
104,F678,MIN_NET_BNKING_TXNS_DB_L7D,carried through from the extract,0.0
105,F682,MIN_MOB_BNKING_TXNS_L7D,carried through from the extract,0.0
106,F683,MIN_MBNKING_TXNS_CR_L7D,carried through from the extract,0.0
107,F684,MIN_MBNKING_TXNS_DB_L7D,carried through from the extract,0.0
108,F685,MIN_MOB_BNKING_AMT_L7D,carried through from the extract,0.0
109,F687,MIN_MBNKING_AMT_DB_L7D,carried through from the extract,0.0
110,F706,MIN_LOAN_TXNS_L7D,carried through from the extract,0.0
111,F707,MIN_LOAN_TXNS_CR_L7D,carried through from the extract,0.0
112,F708,MIN_LOAN_TXNS_DB_L7D,carried through from the extract,0.0
113,F709,MIN_LOAN_AMT_L7D,carried through from the extract,0.0
114,F710,MIN_LOAN_AMT_CR_L7D,carried through from the extract,0.0
115,F711,MIN_LOAN_AMT_DB_L7D,carried through from the extract,0.0
116,F712,MIN_STDNG_INSTR_L7D,carried through from the extract,0.0
117,F713,MIN_STDNG_INSTR_CR_TXNS_L7D,carried through from the extract,0.0
118,F714,MIN_STDNG_INSTR_DB_TXNS_L7D,carried through from the extract,0.0
119,F716,MIN_STDNG_INSTR_AMT_CR_L7D,carried through from the extract,0.0
120,F718,MIN_CASH_TXNS_L14D,carried through from the extract,0.0
121,F719,MIN_CASH_TXNS_CR_L14D,carried through from the extract,0.0
122,F720,MIN_CASH_TXNS_DB_L14D,carried through from the extract,0.0
123,F721,MIN_CASH_AMT_L14D,carried through from the extract,0.0
124,F722,MIN_CASH_AMT_CR_L14D,carried through from the extract,0.0
125,F723,MIN_CASH_AMT_DB_L14D,carried through from the extract,0.0
126,F730,MIN_NON_CASH_CHQ_TXNS_L14D,carried through from the extract,1.0
127,F731,MIN_NON_CASH_CHQ_TXNS_CR_L14D,carried through from the extract,0.0
128,F732,MIN_NON_CASH_CHQ_TXNS_DB_L14D,carried through from the extract,0.0
129,F735,MIN_NON_CASH_CHQ_AMT_DB_L14D,carried through from the extract,0.0
130,F736,MIN_CI_NON_CASH_CHQ_TXNS_L14D,carried through from the extract,0.0
131,F737,MIN_CI_NON_CASH_CHQ_TXNS_CR_L14D,carried through from the extract,0.0
132,F738,MIN_CI_NON_CASH_CHQ_TXNS_DB_L14D,carried through from the extract,0.0
133,F739,MIN_CI_NON_CASH_CHQ_AMT_L14D,carried through from the extract,0.0
134,F741,MIN_CI_NON_CASH_CHQ_AMT_DB_L14D,carried through from the extract,0.0
135,F772,MIN_ELEC_XFER_TXNS_L14D,carried through from the extract,0.0
136,F773,MIN_ELEC_XFER_TXNS_CR_L14D,carried through from the extract,0.0
137,F774,MIN_ELEC_XFER_TXNS_DB_L14D,carried through from the extract,0.0
138,F775,MIN_ELEC_XFER_AMT_L14D,carried through from the extract,0.0
139,F778,MIN_UPI_XFER_TXNS_L14D,carried through from the extract,0.0
140,F779,MIN_UPI_TXNS_CR_L14D,carried through from the extract,0.0
141,F780,MIN_UPI_TXNS_DB_L14D,carried through from the extract,0.0
142,F781,MIN_UPI_XFER_AMT_L14D,carried through from the extract,0.0
143,F782,MIN_UPI_AMT_CR_L14D,carried through from the extract,0.0
144,F783,MIN_UPI_AMT_DB_L14D,carried through from the extract,0.0
145,F784,MIN_NET_BNKING_TXNS_L14D,carried through from the extract,0.0
146,F786,MIN_NET_BNKING_TXNS_DB_L14D,carried through from the extract,0.0
147,F787,MIN_NET_BNKING_AMT_L14D,carried through from the extract,0.0
148,F790,MIN_MOB_BNKING_TXNS_L14D,carried through from the extract,0.0
149,F792,MIN_MBNKING_TXNS_DB_L14D,carried through from the extract,0.0
150,F793,MIN_MOB_BNKING_AMT_L14D,carried through from the extract,0.0
151,F808,MIN_APB_TXNS_L14D,carried through from the extract,0.0
152,F814,MIN_LOAN_TXNS_L14D,carried through from the extract,0.0
153,F815,MIN_LOAN_TXNS_CR_L14D,carried through from the extract,0.0
154,F817,MIN_LOAN_AMT_L14D,carried through from the extract,0.0
155,F818,MIN_LOAN_AMT_CR_L14D,carried through from the extract,0.0
156,F826,MIN_CASH_TXNS_L31D,carried through from the extract,0.0
157,F827,MIN_CASH_TXNS_CR_L31D,carried through from the extract,0.0
158,F828,MIN_CASH_TXNS_DB_L31D,carried through from the extract,0.0
159,F829,MIN_CASH_AMT_L31D,carried through from the extract,0.0
160,F830,MIN_CASH_AMT_CR_L31D,carried through from the extract,0.0
161,F831,MIN_CASH_AMT_DB_L31D,carried through from the extract,0.0
162,F832,MIN_CHQ_TXNS_L31D,carried through from the extract,0.0
163,F838,MIN_NON_CASH_CHQ_TXNS_L31D,carried through from the extract,1.0
164,F839,MIN_NON_CASH_CHQ_TXNS_CR_L31D,carried through from the extract,0.0
165,F840,MIN_NON_CASH_CHQ_TXNS_DB_L31D,carried through from the extract,0.0
166,F841,MIN_NON_CASH_CHQ_AMT_L31D,carried through from the extract,1.0
167,F842,MIN_NON_CASH_CHQ_AMT_CR_L31D,carried through from the extract,0.0
168,F843,MIN_NON_CASH_CHQ_AMT_DB_L31D,carried through from the extract,0.0
169,F844,MIN_CI_NON_CASH_CHQ_TXNS_L31D,carried through from the extract,0.0
170,F845,MIN_CI_NON_CASH_CHQ_TXNS_CR_L31D,carried through from the extract,0.0
171,F846,MIN_CI_NON_CASH_CHQ_TXNS_DB_L31D,carried through from the extract,0.0
172,F847,MIN_CI_NON_CASH_CHQ_AMT_L31D,carried through from the extract,0.0
173,F849,MIN_CI_NON_CASH_CHQ_AMT_DB_L31D,carried through from the extract,0.0
174,F862,MIN_BI_FEES_CHRGS_TXNS_L31D,carried through from the extract,0.0
175,F880,MIN_ELEC_XFER_TXNS_L31D,carried through from the extract,0.0
176,F881,MIN_ELEC_XFER_TXNS_CR_L31D,carried through from the extract,0.0
177,F882,MIN_ELEC_XFER_TXNS_DB_L31D,carried through from the extract,0.0
178,F883,MIN_ELEC_XFER_AMT_L31D,carried through from the extract,0.0
179,F884,MIN_ELEC_XFER_AMT_CR_L31D,carried through from the extract,0.0
180,F885,MIN_ELEC_XFER_AMT_DB_L31D,carried through from the extract,0.0
181,F886,MIN_UPI_XFER_TXNS_L31D,carried through from the extract,0.0
182,F887,MIN_UPI_TXNS_CR_L31D,carried through from the extract,0.0
183,F888,MIN_UPI_TXNS_DB_L31D,carried through from the extract,0.0
184,F889,MIN_UPI_XFER_AMT_L31D,carried through from the extract,0.0
185,F898,MIN_MOB_BNKING_TXNS_L31D,carried through from the extract,0.0
186,F922,MIN_LOAN_TXNS_L31D,carried through from the extract,0.0
187,F925,MIN_LOAN_AMT_L31D,carried through from the extract,0.0
188,F934,MAX_CASH_TXNS_L7D,carried through from the extract,0.0
189,F935,MAX_CASH_TXNS_CR_L7D,carried through from the extract,0.0
190,F936,MAX_CASH_TXNS_DB_L7D,carried through from the extract,0.0
191,F937,MAX_CASH_AMT_L7D,carried through from the extract,0.0
192,F938,MAX_CASH_AMT_CR_L7D,carried through from the extract,0.0
193,F939,MAX_CASH_AMT_DB_L7D,carried through from the extract,0.0
194,F940,MAX_CHQ_TXNS_L7D,carried through from the extract,0.0
195,F941,MAX_CHQ_TXNS_CR_L7D,carried through from the extract,0.0
196,F942,MAX_CHQ_TXNS_DB_L7D,carried through from the extract,0.0
197,F943,MAX_CHQ_AMT_L7D,carried through from the extract,0.0
198,F944,MAX_CHQ_AMT_CR_L7D,carried through from the extract,0.0
199,F945,MAX_CHQ_AMT_DB_L7D,carried through from the extract,0.0
200,F946,MAX_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,1.0
201,F947,MAX_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,1.0
202,F948,MAX_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,1.0
203,F949,MAX_NON_CASH_CHQ_AMT_L7D,carried through from the extract,150000.0
204,F950,MAX_NON_CASH_CHQ_AMT_CR_L7D,carried through from the extract,100000.0
205,F951,MAX_NON_CASH_CHQ_AMT_DB_L7D,carried through from the extract,90000.0
206,F952,MAX_CI_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,1.0
207,F953,MAX_CI_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,1.0
208,F954,MAX_CI_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,1.0
209,F957,MAX_CI_NON_CASH_CHQ_AMT_DB_L7D,carried through from the extract,75000.0
210,F964,MAX_ATM_TXNS_L7D,carried through from the extract,0.0
211,F967,MAX_ATM_AMT_L7D,carried through from the extract,0.0
212,F970,MAX_BI_FEES_CHRGS_TXNS_L7D,carried through from the extract,0.0
213,F971,MAX_BI_FEES_CHRGS_TXNS_CR_L7D,carried through from the extract,0.0
214,F973,MAX_BI_FEES_CHRGS_AMT_L7D,carried through from the extract,0.0
215,F974,MAX_BI_FEES_CHRGS_AMT_CR_L7D,carried through from the extract,0.0
216,F975,MAX_BI_FEES_CHRGS_AMT_DB_L7D,carried through from the extract,0.0
217,F976,MAX_CI_FEES_CHRGS_TXNS_L7D,carried through from the extract,0.0
218,F977,MAX_CI_FEES_CHRGS_TXNS_CR_L7D,carried through from the extract,0.0
219,F979,MAX_CI_FEES_CHRGS_AMT_L7D,carried through from the extract,0.0
220,F980,MAX_CI_FEES_CHRGS_AMT_CR_L7D,carried through from the extract,0.0
221,F981,MAX_CI_FEES_CHRGS_AMT_DB_L7D,carried through from the extract,0.0
222,F982,MAX_GST_TXNS_L7D,carried through from the extract,0.0
223,F983,MAX_GST_TXNS_CR_L7D,carried through from the extract,0.0
224,F984,MAX_GST_TXNS_DB_L7D,carried through from the extract,0.0
225,F985,MAX_GST_AMT_L7D,carried through from the extract,0.0
226,F986,MAX_GST_AMT_CR_L7D,carried through from the extract,0.0
227,F988,MAX_ELEC_XFER_TXNS_L7D,carried through from the extract,1.0
228,F989,MAX_ELEC_XFER_TXNS_CR_L7D,carried through from the extract,1.0
229,F990,MAX_ELEC_XFER_TXNS_DB_L7D,carried through from the extract,0.0
230,F991,MAX_ELEC_XFER_AMT_L7D,carried through from the extract,50000.0
231,F993,MAX_ELEC_XFER_AMT_DB_L7D,carried through from the extract,0.0
232,F994,MAX_UPI_XFER_TXNS_L7D,carried through from the extract,1.0
233,F995,MAX_UPI_TXNS_CR_L7D,carried through from the extract,1.0
234,F996,MAX_UPI_TXNS_DB_L7D,carried through from the extract,1.0
235,F997,MAX_UPI_XFER_AMT_L7D,carried through from the extract,30000.0
236,F998,MAX_UPI_AMT_CR_L7D,carried through from the extract,7000.0
237,F999,MAX_UPI_AMT_DB_L7D,carried through from the extract,15881.5
238,F1000,MAX_NET_BNKING_TXNS_L7D,carried through from the extract,0.0
239,F1001,MAX_NET_BNKING_TXNS_CR_L7D,carried through from the extract,0.0
240,F1002,MAX_NET_BNKING_TXNS_DB_L7D,carried through from the extract,0.0
241,F1005,MAX_NET_BNKING_AMT_DB_L7D,carried through from the extract,0.0
242,F1006,MAX_MOB_BNKING_TXNS_L7D,carried through from the extract,0.0
243,F1007,MAX_MBNKING_TXNS_CR_L7D,carried through from the extract,0.0
244,F1008,MAX_MBNKING_TXNS_DB_L7D,carried through from the extract,0.0
245,F1009,MAX_MOB_BNKING_AMT_L7D,carried through from the extract,0.0
246,F1010,MAX_MBNKING_AMT_CR_L7D,carried through from the extract,0.0
247,F1011,MAX_MBNKING_AMT_DB_L7D,carried through from the extract,0.0
248,F1012,MAX_POS_PYMT_TXNS_L7D,carried through from the extract,0.0
249,F1013,MAX_POS_PYMT_TXNS_CR_L7D,carried through from the extract,0.0
250,F1015,MAX_POS_PYMT_AMT_L7D,carried through from the extract,0.0
251,F1016,MAX_POS_PYMT_AMT_CR_L7D,carried through from the extract,0.0
252,F1024,MAX_APB_TXNS_L7D,carried through from the extract,0.0
253,F1026,MAX_APB_TXNS_DB_L7D,carried through from the extract,0.0
254,F1027,MAX_APB_AMT_L7D,carried through from the extract,0.0
255,F1030,MAX_LOAN_TXNS_L7D,carried through from the extract,0.0
256,F1031,MAX_LOAN_TXNS_CR_L7D,carried through from the extract,0.0
257,F1032,MAX_LOAN_TXNS_DB_L7D,carried through from the extract,0.0
258,F1033,MAX_LOAN_AMT_L7D,carried through from the extract,0.0
259,F1034,MAX_LOAN_AMT_CR_L7D,carried through from the extract,0.0
260,F1036,MAX_STDNG_INSTR_L7D,carried through from the extract,0.0
261,F1037,MAX_STDNG_INSTR_CR_TXNS_L7D,carried through from the extract,0.0
262,F1038,MAX_STDNG_INSTR_DB_TXNS_L7D,carried through from the extract,0.0
263,F1039,MAX_STDNG_INSTR_AMT_L7D,carried through from the extract,0.0
264,F1041,MAX_STDNG_INSTR_AMT_DB_L7D,carried through from the extract,0.0
265,F1042,MAX_CASH_TXNS_L14D,carried through from the extract,0.0
266,F1043,MAX_CASH_TXNS_CR_L14D,carried through from the extract,0.0
267,F1044,MAX_CASH_TXNS_DB_L14D,carried through from the extract,0.0
268,F1045,MAX_CASH_AMT_L14D,carried through from the extract,0.0
269,F1046,MAX_CASH_AMT_CR_L14D,carried through from the extract,0.0
270,F1047,MAX_CASH_AMT_DB_L14D,carried through from the extract,0.0
271,F1048,MAX_CHQ_TXNS_L14D,carried through from the extract,0.0
272,F1049,MAX_CHQ_TXNS_CR_L14D,carried through from the extract,0.0
273,F1050,MAX_CHQ_TXNS_DB_L14D,carried through from the extract,0.0
274,F1051,MAX_CHQ_AMT_L14D,carried through from the extract,0.0
275,F1053,MAX_CHQ_AMT_DB_L14D,carried through from the extract,0.0
276,F1054,MAX_NON_CASH_CHQ_TXNS_L14D,carried through from the extract,1.0
277,F1055,MAX_NON_CASH_CHQ_TXNS_CR_L14D,carried through from the extract,1.0
278,F1056,MAX_NON_CASH_CHQ_TXNS_DB_L14D,carried through from the extract,1.0
279,F1057,MAX_NON_CASH_CHQ_AMT_L14D,carried through from the extract,198775.0
280,F1058,MAX_NON_CASH_CHQ_AMT_CR_L14D,carried through from the extract,123000.0
281,F1059,MAX_NON_CASH_CHQ_AMT_DB_L14D,carried through from the extract,99000.0
282,F1060,MAX_CI_NON_CASH_CHQ_TXNS_L14D,carried through from the extract,1.0
283,F1061,MAX_CI_NON_CASH_CHQ_TXNS_CR_L14D,carried through from the extract,1.0
284,F1062,MAX_CI_NON_CASH_CHQ_TXNS_DB_L14D,carried through from the extract,1.0
285,F1065,MAX_CI_NON_CASH_CHQ_AMT_DB_L14D,carried through from the extract,89226.0
286,F1072,MAX_ATM_TXNS_L14D,carried through from the extract,0.0
287,F1075,MAX_ATM_AMT_L14D,carried through from the extract,0.0
288,F1078,MAX_BI_FEES_CHRGS_TXNS_L14D,carried through from the extract,0.0
289,F1079,MAX_BI_FEES_CHRGS_TXNS_CR_L14D,carried through from the extract,0.0
290,F1081,MAX_BI_FEES_CHRGS_AMT_L14D,carried through from the extract,0.0
291,F1083,MAX_BI_FEES_CHRGS_AMT_DB_L14D,carried through from the extract,0.0
292,F1084,MAX_CI_FEES_CHRGS_TXNS_L14D,carried through from the extract,0.0
293,F1085,MAX_CI_FEES_CHRGS_TXNS_CR_L14D,carried through from the extract,0.0
294,F1087,MAX_CI_FEES_CHRGS_AMT_L14D,carried through from the extract,0.0
295,F1088,MAX_CI_FEES_CHRGS_AMT_CR_L14D,carried through from the extract,0.0
296,F1089,MAX_CI_FEES_CHRGS_AMT_DB_L14D,carried through from the extract,0.0
297,F1090,MAX_GST_TXNS_L14D,carried through from the extract,0.0
298,F1091,MAX_GST_TXNS_CR_L14D,carried through from the extract,0.0
299,F1092,MAX_GST_TXNS_DB_L14D,carried through from the extract,0.0
300,F1093,MAX_GST_AMT_L14D,carried through from the extract,0.0
301,F1094,MAX_GST_AMT_CR_L14D,carried through from the extract,0.0
302,F1095,MAX_GST_AMT_DB_L14D,carried through from the extract,0.0
303,F1096,MAX_ELEC_XFER_TXNS_L14D,carried through from the extract,1.0
304,F1097,MAX_ELEC_XFER_TXNS_CR_L14D,carried through from the extract,1.0
305,F1098,MAX_ELEC_XFER_TXNS_DB_L14D,carried through from the extract,0.0
306,F1099,MAX_ELEC_XFER_AMT_L14D,carried through from the extract,74026.0
307,F1100,MAX_ELEC_XFER_AMT_CR_L14D,carried through from the extract,36752.65
308,F1101,MAX_ELEC_XFER_AMT_DB_L14D,carried through from the extract,0.0
309,F1102,MAX_UPI_XFER_TXNS_L14D,carried through from the extract,1.0
310,F1103,MAX_UPI_TXNS_CR_L14D,carried through from the extract,1.0
311,F1105,MAX_UPI_XFER_AMT_L14D,carried through from the extract,36000.0
312,F1106,MAX_UPI_AMT_CR_L14D,carried through from the extract,13000.0
313,F1107,MAX_UPI_AMT_DB_L14D,carried through from the extract,20000.0
314,F1108,MAX_NET_BNKING_TXNS_L14D,carried through from the extract,1.0
315,F1109,MAX_NET_BNKING_TXNS_CR_L14D,carried through from the extract,1.0
316,F1110,MAX_NET_BNKING_TXNS_DB_L14D,carried through from the extract,0.0
317,F1114,MAX_MOB_BNKING_TXNS_L14D,carried through from the extract,0.0
318,F1115,MAX_MBNKING_TXNS_CR_L14D,carried through from the extract,0.0
319,F1116,MAX_MBNKING_TXNS_DB_L14D,carried through from the extract,0.0
320,F1117,MAX_MOB_BNKING_AMT_L14D,carried through from the extract,0.0
321,F1118,MAX_MBNKING_AMT_CR_L14D,carried through from the extract,0.0
322,F1119,MAX_MBNKING_AMT_DB_L14D,carried through from the extract,0.0
323,F1120,MAX_POS_PYMT_TXNS_L14D,carried through from the extract,0.0
324,F1121,MAX_POS_PYMT_TXNS_CR_L14D,carried through from the extract,0.0
325,F1123,MAX_POS_PYMT_AMT_L14D,carried through from the extract,0.0
326,F1124,MAX_POS_PYMT_AMT_CR_L14D,carried through from the extract,0.0
327,F1132,MAX_APB_TXNS_L14D,carried through from the extract,0.0
328,F1135,MAX_APB_AMT_L14D,carried through from the extract,0.0
329,F1138,MAX_LOAN_TXNS_L14D,carried through from the extract,0.0
330,F1139,MAX_LOAN_TXNS_CR_L14D,carried through from the extract,0.0
331,F1140,MAX_LOAN_TXNS_DB_L14D,carried through from the extract,0.0
332,F1141,MAX_LOAN_AMT_L14D,carried through from the extract,0.0
333,F1142,MAX_LOAN_AMT_CR_L14D,carried through from the extract,0.0
334,F1144,MAX_STDNG_INSTR_L14D,carried through from the extract,0.0
335,F1145,MAX_STDNG_INSTR_CR_TXNS_L14D,carried through from the extract,0.0
336,F1146,MAX_STDNG_INSTR_DB_TXNS_L14D,carried through from the extract,0.0
337,F1147,MAX_STDNG_INSTR_AMT_L14D,carried through from the extract,0.0
338,F1148,MAX_STDNG_INSTR_AMT_CR_L14D,carried through from the extract,0.0
339,F1149,MAX_STDNG_INSTR_AMT_DB_L14D,carried through from the extract,0.0
340,F1150,MAX_CASH_TXNS_L31D,carried through from the extract,0.0
